Data;Rentabilidade
12/01/2023;4.971
27/06/2023;4.722
10/02/2023;3.772
07/03/2023;3.757
30/01/2023;3.637
20/01/2023;3.627
03/07/2023;3.533
28/04/2023;3.347
14/04/2023;2.721
15/03/2023;2.546
28/02/2023;2.529
25/08/2023;2.473
28/03/2023;2.428
25/04/2023;2.217
02/10/2023;2.191
01/09/2023;2.112
12/05/2023;2.108
27/04/2023;2.087
14/12/2023;2.074
29/06/2023;1.995
24/03/2023;1.975
18/09/2023;1.943
19/05/2023;1.939
25/05/2023;1.837
23/01/2023;1.83
20/06/2023;1.775
03/04/2023;1.717
11/04/2023;1.686
01/06/2023;1.678
27/12/2023;1.619
21/03/2023;1.61
21/09/2023;1.524
19/10/2023;1.524
13/06/2023;1.502
31/10/2023;1.484
20/07/2023;1.452
17/08/2023;1.424
09/01/2023;1.395
19/04/2023;1.395
26/09/2023;1.374
08/08/2023;1.348
28/11/2023;1.344
05/05/2023;1.288
14/02/2023;1.263
20/12/2023;1.244
02/02/2023;1.241
31/03/2023;1.219
09/02/2023;1.208
22/12/2023;1.198
07/12/2023;1.192
29/05/2023;1.181
12/04/2023;1.165
20/11/2023;1.149
11/08/2023;1.148
04/08/2023;1.147
26/07/2023;1.137
01/08/2023;1.135
08/05/2023;1.098
17/02/2023;1.094
17/03/2023;1.093
13/03/2023;1.076
27/10/2023;1.076
16/05/2023;1.067
18/12/2023;1.049
15/02/2023;1.048
22/03/2023;0.989
16/06/2023;0.976
24/07/2023;0.943
18/10/2023;0.937
27/09/2023;0.911
10/10/2023;0.885
05/06/2023;0.884
25/01/2023;0.881
24/10/2023;0.88
11/10/2023;0.867
10/07/2023;0.862
02/03/2023;0.861
14/09/2023;0.861
07/06/2023;0.859
17/10/2023;0.859
15/08/2023;0.854
05/04/2023;0.843
06/11/2023;0.813
20/09/2023;0.779
17/01/2023;0.77
31/07/2023;0.74
22/06/2023;0.664
06/02/2023;0.649
13/07/2023;0.643
25/09/2023;0.611
30/05/2023;0.597
21/06/2023;0.581
04/09/2023;0.563
12/09/2023;0.543
17/11/2023;0.539
22/11/2023;0.51
27/07/2023;0.487
26/04/2023;0.466
18/07/2023;0.465
30/03/2023;0.458
26/10/2023;0.445
04/07/2023;0.422
04/04/2023;0.372
08/03/2023;0.369
04/12/2023;0.365
07/11/2023;0.356
10/11/2023;0.356
18/04/2023;0.342
14/07/2023;0.321
06/07/2023;0.3
21/11/2023;0.297
12/12/2023;0.289
08/11/2023;0.288
11/07/2023;0.284
08/02/2023;0.28
27/03/2023;0.274
11/12/2023;0.267
06/06/2023;0.264
11/05/2023;0.25
20/03/2023;0.245
24/11/2023;0.242
16/10/2023;0.232
06/10/2023;0.224
23/08/2023;0.217
03/10/2023;0.202
22/05/2023;0.189
01/12/2023;0.188
22/08/2023;0.161
05/09/2023;0.157
08/09/2023;0.155
05/12/2023;0.15
07/08/2023;0.134
05/10/2023;0.13
12/06/2023;0.116
03/01/2023;0.111
28/07/2023;0.105
16/11/2023;0.084
27/02/2023;0.066
29/12/2023;0.045
29/08/2023;0.016
14/06/2023;0.01
03/05/2023;0.002
02/01/2023;0.0
18/01/2023;-0.006
16/03/2023;-0.006
17/05/2023;-0.008
21/08/2023;-0.015
30/10/2023;-0.019
13/12/2023;-0.024
13/11/2023;-0.029
21/12/2023;-0.033
19/07/2023;-0.064
23/05/2023;-0.078
15/06/2023;-0.104
01/02/2023;-0.108
03/02/2023;-0.132
30/08/2023;-0.133
15/09/2023;-0.157
14/08/2023;-0.177
03/11/2023;-0.183
23/02/2023;-0.191
10/08/2023;-0.193
19/12/2023;-0.197
22/02/2023;-0.202
23/10/2023;-0.208
27/01/2023;-0.209
13/01/2023;-0.26
09/05/2023;-0.264
17/07/2023;-0.27
10/04/2023;-0.288
30/11/2023;-0.291
21/07/2023;-0.3
01/03/2023;-0.304
16/01/2023;-0.307
28/09/2023;-0.311
15/05/2023;-0.315
29/09/2023;-0.354
14/11/2023;-0.355
28/08/2023;-0.374
09/06/2023;-0.396
13/09/2023;-0.402
04/10/2023;-0.406
18/08/2023;-0.438
16/08/2023;-0.443
02/05/2023;-0.533
31/05/2023;-0.547
07/07/2023;-0.585
12/07/2023;-0.594
10/05/2023;-0.597
02/06/2023;-0.604
31/08/2023;-0.606
24/08/2023;-0.632
27/11/2023;-0.634
11/01/2023;-0.644
20/04/2023;-0.646
31/01/2023;-0.653
28/12/2023;-0.674
29/11/2023;-0.722
01/11/2023;-0.729
03/08/2023;-0.731
06/09/2023;-0.744
09/10/2023;-0.773
23/11/2023;-0.8
13/10/2023;-0.805
04/01/2023;-0.833
06/12/2023;-0.843
19/06/2023;-0.849
08/12/2023;-0.885
06/04/2023;-0.887
13/04/2023;-0.937
24/01/2023;-0.986
09/11/2023;-1.031
10/01/2023;-1.037
26/05/2023;-1.061
10/03/2023;-1.09
24/05/2023;-1.095
26/06/2023;-1.122
16/02/2023;-1.173
24/02/2023;-1.208
17/04/2023;-1.222
23/06/2023;-1.231
18/05/2023;-1.25
11/09/2023;-1.259
22/09/2023;-1.266
28/06/2023;-1.384
15/12/2023;-1.387
03/03/2023;-1.406
19/09/2023;-1.454
09/03/2023;-1.461
26/01/2023;-1.49
02/08/2023;-1.513
25/10/2023;-1.642
09/08/2023;-1.66
05/01/2023;-1.712
05/07/2023;-1.777
06/03/2023;-1.95
19/01/2023;-1.964
14/03/2023;-2.095
04/05/2023;-2.119
20/10/2023;-2.352
30/06/2023;-2.439
29/03/2023;-2.596
07/02/2023;-2.637
25/07/2023;-2.715
13/02/2023;-2.821
26/12/2023;-2.978
24/04/2023;-3.261
06/01/2023;-3.94
23/03/2023;-6.323
