Data;Rentabilidade
02/01/2023;0.000
03/01/2023;0.111
04/01/2023;-0.833
05/01/2023;-1.712
06/01/2023;-3.940
09/01/2023;1.395
10/01/2023;-1.037
11/01/2023;-0.644
12/01/2023;4.971
13/01/2023;-0.260
16/01/2023;-0.307
17/01/2023;0.770
18/01/2023;-0.006
19/01/2023;-1.964
20/01/2023;3.627
23/01/2023;1.830
24/01/2023;-0.986
25/01/2023;0.881
26/01/2023;-1.490
27/01/2023;-0.209
30/01/2023;3.637
31/01/2023;-0.653
01/02/2023;-0.108
02/02/2023;1.241
03/02/2023;-0.132
06/02/2023;0.649
07/02/2023;-2.637
08/02/2023;0.280
09/02/2023;1.208
10/02/2023;3.772
13/02/2023;-2.821
14/02/2023;1.263
15/02/2023;1.048
16/02/2023;-1.173
17/02/2023;1.094
22/02/2023;-0.202
23/02/2023;-0.191
24/02/2023;-1.208
27/02/2023;0.066
28/02/2023;2.529
01/03/2023;-0.304
02/03/2023;0.861
03/03/2023;-1.406
06/03/2023;-1.950
07/03/2023;3.757
08/03/2023;0.369
09/03/2023;-1.461
10/03/2023;-1.090
13/03/2023;1.076
14/03/2023;-2.095
15/03/2023;2.546
16/03/2023;-0.006
17/03/2023;1.093
20/03/2023;0.245
21/03/2023;1.610
22/03/2023;0.989
23/03/2023;-6.323
24/03/2023;1.975
27/03/2023;0.274
28/03/2023;2.428
29/03/2023;-2.596
30/03/2023;0.458
31/03/2023;1.219
03/04/2023;1.717
04/04/2023;0.372
05/04/2023;0.843
06/04/2023;-0.887
10/04/2023;-0.288
11/04/2023;1.686
12/04/2023;1.165
13/04/2023;-0.937
14/04/2023;2.721
17/04/2023;-1.222
18/04/2023;0.342
19/04/2023;1.395
20/04/2023;-0.646
24/04/2023;-3.261
25/04/2023;2.217
26/04/2023;0.466
27/04/2023;2.087
28/04/2023;3.347
02/05/2023;-0.533
03/05/2023;0.002
04/05/2023;-2.119
05/05/2023;1.288
08/05/2023;1.098
09/05/2023;-0.264
10/05/2023;-0.597
11/05/2023;0.250
12/05/2023;2.108
15/05/2023;-0.315
16/05/2023;1.067
17/05/2023;-0.008
18/05/2023;-1.250
19/05/2023;1.939
22/05/2023;0.189
23/05/2023;-0.078
24/05/2023;-1.095
25/05/2023;1.837
26/05/2023;-1.061
29/05/2023;1.181
30/05/2023;0.597
31/05/2023;-0.547
01/06/2023;1.678
02/06/2023;-0.604
05/06/2023;0.884
06/06/2023;0.264
07/06/2023;0.859
09/06/2023;-0.396
12/06/2023;0.116
13/06/2023;1.502
14/06/2023;0.010
15/06/2023;-0.104
16/06/2023;0.976
19/06/2023;-0.849
20/06/2023;1.775
21/06/2023;0.581
22/06/2023;0.664
23/06/2023;-1.231
26/06/2023;-1.122
27/06/2023;4.722
28/06/2023;-1.384
29/06/2023;1.995
30/06/2023;-2.439
03/07/2023;3.533
04/07/2023;0.422
05/07/2023;-1.777
06/07/2023;0.300
07/07/2023;-0.585
10/07/2023;0.862
11/07/2023;0.284
12/07/2023;-0.594
13/07/2023;0.643
14/07/2023;0.321
17/07/2023;-0.270
18/07/2023;0.465
19/07/2023;-0.064
20/07/2023;1.452
21/07/2023;-0.300
24/07/2023;0.943
25/07/2023;-2.715
26/07/2023;1.137
27/07/2023;0.487
28/07/2023;0.105
31/07/2023;0.740
01/08/2023;1.135
02/08/2023;-1.513
03/08/2023;-0.731
04/08/2023;1.147
07/08/2023;0.134
08/08/2023;1.348
09/08/2023;-1.660
10/08/2023;-0.193
11/08/2023;1.148
14/08/2023;-0.177
15/08/2023;0.854
16/08/2023;-0.443
17/08/2023;1.424
18/08/2023;-0.438
21/08/2023;-0.015
22/08/2023;0.161
23/08/2023;0.217
24/08/2023;-0.632
25/08/2023;2.473
28/08/2023;-0.374
29/08/2023;0.016
30/08/2023;-0.133
31/08/2023;-0.606
01/09/2023;2.112
04/09/2023;0.563
05/09/2023;0.157
06/09/2023;-0.744
08/09/2023;0.155
11/09/2023;-1.259
12/09/2023;0.543
13/09/2023;-0.402
14/09/2023;0.861
15/09/2023;-0.157
18/09/2023;1.943
19/09/2023;-1.454
20/09/2023;0.779
21/09/2023;1.524
22/09/2023;-1.266
25/09/2023;0.611
26/09/2023;1.374
27/09/2023;0.911
28/09/2023;-0.311
29/09/2023;-0.354
02/10/2023;2.191
03/10/2023;0.202
04/10/2023;-0.406
05/10/2023;0.130
06/10/2023;0.224
09/10/2023;-0.773
10/10/2023;0.885
11/10/2023;0.867
13/10/2023;-0.805
16/10/2023;0.232
17/10/2023;0.859
18/10/2023;0.937
19/10/2023;1.524
20/10/2023;-2.352
23/10/2023;-0.208
24/10/2023;0.880
25/10/2023;-1.642
26/10/2023;0.445
27/10/2023;1.076
30/10/2023;-0.019
31/10/2023;1.484
01/11/2023;-0.729
03/11/2023;-0.183
06/11/2023;0.813
07/11/2023;0.356
08/11/2023;0.288
09/11/2023;-1.031
10/11/2023;0.356
13/11/2023;-0.029
14/11/2023;-0.355
16/11/2023;0.084
17/11/2023;0.539
20/11/2023;1.149
21/11/2023;0.297
22/11/2023;0.510
23/11/2023;-0.800
24/11/2023;0.242
27/11/2023;-0.634
28/11/2023;1.344
29/11/2023;-0.722
30/11/2023;-0.291
01/12/2023;0.188
04/12/2023;0.365
05/12/2023;0.150
06/12/2023;-0.843
07/12/2023;1.192
08/12/2023;-0.885
11/12/2023;0.267
12/12/2023;0.289
13/12/2023;-0.024
14/12/2023;2.074
15/12/2023;-1.387
18/12/2023;1.049
19/12/2023;-0.197
20/12/2023;1.244
21/12/2023;-0.033
22/12/2023;1.198
26/12/2023;-2.978
27/12/2023;1.619
28/12/2023;-0.674
29/12/2023;0.045
